Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
128	-33	33	5750	128	-33	33	5750	128	-33	33	5750	128	-33	33	5750	128	-33	33	5750
129	-19	19	5769	129	-19	19	5769	129	-19	19	5769	129	-19	19	5769	129	-19	19	5769
130	-21	21	5790	130	-21	21	5790	130	-21	21	5790	130	-21	21	5790	130	-21	21	5790
131	-23	23	5813	131	-23	23	5813	131	-23	23	5813	131	-23	23	5813	131	-23	23	5813
132	-19	19	5832	132	-19	19	5832	132	-19	19	5832	132	-19	19	5832	132	-19	19	5832
133	-257	59	5891	133	-257	59	5891	133	-257	59	5891	133	-257	59	5891	133	-257	59	5891
134	-17	17	5908	134	-17	17	5908	134	-17	17	5908	134	-17	17	5908	134	-17	17	5908
135	-24	24	5932	135	-24	24	5932	135	-24	24	5932	135	-24	24	5932	135	-24	24	5932
136	-21	21	5953	136	-21	21	5953	136	-21	21	5953	136	-21	21	5953	136	-21	21	5953
137	-17	17	5970	137	-17	17	5970	137	-17	17	5970	137	-17	17	5970	137	-17	17	5970
138	-27	27	5997	138	-27	27	5997	138	-27	27	5997	138	-27	27	5997	138	-27	27	5997
139	-17	17	6014	139	-17	17	6014	139	-17	17	6014	139	-17	17	6014	139	-17	17	6014
140	-19	19	6033	140	-19	19	6033	140	-19	19	6033	140	-19	19	6033	140	-19	19	6033
141	-20	20	6053	141	-20	20	6053	141	-20	20	6053	141	-20	20	6053	141	-20	20	6053
142	-32	32	6085	142	-32	32	6085	142	-32	32	6085	142	-32	32	6085	142	-32	32	6085
143	-27	27	6112	143	-27	27	6112	143	-27	27	6112	143	-27	27	6112	143	-27	27	6112
144	-19	19	6131	144	-19	19	6131	144	-19	19	6131	144	-19	19	6131	144	-19	19	6131
145	-19	19	6150	145	-19	19	6150	145	-19	19	6150	145	-19	19	6150	145	-19	19	6150
146	-22	22	6172	146	-22	22	6172	146	-22	22	6172	146	-22	22	6172	146	-22	22	6172
147	-18	18	6190	147	-18	18	6190	147	-18	18	6190	147	-18	18	6190	147	-18	18	6190
148	-21	21	6211	148	-21	21	6211	148	-21	21	6211	148	-21	21	6211	148	-21	21	6211
149	-17	17	6228	149	-17	17	6228	149	-17	17	6228	149	-17	17	6228	149	-17	17	6228
150	-19	19	6247	150	-19	19	6247	150	-19	19	6247	150	-19	19	6247	150	-19	19	6247
151	-19	19	6266	151	-19	19	6266	151	-19	19	6266	151	-19	19	6266	151	-19	19	6266
152	-21	21	6287	152	-21	21	6287	152	-21	21	6287	152	-21	21	6287	152	-21	21	6287
153	-18	18	6305	153	-18	18	6305	153	-18	18	6305	153	-18	18	6305	153	-18	18	6305
154	-17	17	6322	154	-17	17	6322	154	-17	17	6322	154	-17	17	6322	154	-17	17	6322
155	-21	21	6343	155	-21	21	6343	155	-21	21	6343	155	-21	21	6343	155	-21	21	6343
156	-17	17	6360	156	-17	17	6360	156	-17	17	6360	156	-17	17	6360	156	-17	17	6360
157	-23	23	6383	157	-23	23	6383	157	-23	23	6383	157	-23	23	6383	157	-23	23	6383
158	-17	17	6400	158	-17	17	6400	158	-17	17	6400	158	-17	17	6400	158	-17	17	6400
159	-18	18	6418	159	-18	18	6418	159	-18	18	6418	159	-18	18	6418	159	-18	18	6418
160	-21	21	6439	160	-21	21	6439	160	-21	21	6439	160	-21	21	6439	160	-21	21	6439
161	-17	17	6456	161	-17	17	6456	161	-17	17	6456	161	-17	17	6456	161	-17	17	6456
162	-19	19	6475	162	-19	19	6475	162	-19	19	6475	162	-19	19	6475	162	-19	19	6475
163	-131	32	6507	163	-131	32	6507	163	-131	32	6507	163	-131	32	6507	163	-131	32	6507
164	-24	24	6531	164	-24	24	6531	164	-24	24	6531	164	-24	24	6531	164	-24	24	6531
165	-27	27	6558	165	-27	27	6558	165	-27	27	6558	165	-27	27	6558	165	-27	27	6558
166	-19	19	6577	166	-19	19	6577	166	-19	19	6577	166	-19	19	6577	166	-19	19	6577
167	-25	25	6602	167	-25	25	6602	167	-25	25	6602	167	-25	25	6602	167	-25	25	6602
168	-218	20	6622	168	-218	20	6622	168	-218	20	6622	168	-218	20	6622	168	-218	20	6622
169	-19	19	6641	169	-19	19	6641	169	-19	19	6641	169	-19	19	6641	169	-19	19	6641
170	-19	19	6660	170	-19	19	6660	170	-19	19	6660	170	-19	19	6660	170	-19	19	6660
171	-19	19	6679	171	-19	19	6679	171	-19	19	6679	171	-19	19	6679	171	-19	19	6679
172	-20	20	6699	172	-20	20	6699	172	-20	20	6699	172	-20	20	6699	172	-20	20	6699
173	-18	18	6717	173	-18	18	6717	173	-18	18	6717	173	-18	18	6717	173	-18	18	6717
174	-17	17	6734	174	-17	17	6734	174	-17	17	6734	174	-17	17	6734	174	-17	17	6734
175	-17	17	6751	175	-17	17	6751	175	-17	17	6751	175	-17	17	6751	175	-17	17	6751
176	-17	17	6768	176	-17	17	6768	176	-17	17	6768	176	-17	17	6768	176	-17	17	6768
177	-22	22	6790	177	-22	22	6790	177	-22	22	6790	177	-22	22	6790	177	-22	22	6790
178	-20	20	6810	178	-20	20	6810	178	-20	20	6810	178	-20	20	6810	178	-20	20	6810
179	-26	26	6836	179	-26	26	6836	179	-26	26	6836	179	-26	26	6836	179	-26	26	6836
180	-24	24	6860	180	-24	24	6860	180	-24	24	6860	180	-24	24	6860	180	-24	24	6860
181	-17	17	6877	181	-17	17	6877	181	-17	17	6877	181	-17	17	6877	181	-17	17	6877
182	-17	17	6894	182	-17	17	6894	182	-17	17	6894	182	-17	17	6894	182	-17	17	6894
183	-21	21	6915	183	-21	21	6915	183	-21	21	6915	183	-21	21	6915	183	-21	21	6915
184	-17	17	6932	184	-17	17	6932	184	-17	17	6932	184	-17	17	6932	184	-17	17	6932
185	-20	20	6952	185	-20	20	6952	185	-20	20	6952	185	-20	20	6952	185	-20	20	6952
186	-27	27	6979	186	-27	27	6979	186	-27	27	6979	186	-27	27	6979	186	-27	27	6979
187	-17	17	6996	187	-17	17	6996	187	-17	17	6996	187	-17	17	6996	187	-17	17	6996
