Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
194	-500.0	500	55818	194	-500.0	500	55818	194	-500.0	500	55818	194	-500.0	500	55818	194	-500.0	500	55818
195	-500.0	500	56318	195	-500.0	500	56318	195	-500.0	500	56318	195	-500.0	500	56318	195	-500.0	500	56318
196	-500.0	500	56818	196	-500.0	500	56818	196	-500.0	500	56818	196	-500.0	500	56818	196	-500.0	500	56818
197	-500.0	500	57318	197	-500.0	500	57318	197	-500.0	500	57318	197	-500.0	500	57318	197	-500.0	500	57318
198	-500.0	500	57818	198	-500.0	500	57818	198	-500.0	500	57818	198	-500.0	500	57818	198	-500.0	500	57818
199	-500.0	500	58318	199	-500.0	500	58318	199	-500.0	500	58318	199	-500.0	500	58318	199	-500.0	500	58318
200	-500.0	500	58818	200	-500.0	500	58818	200	-500.0	500	58818	200	-500.0	500	58818	200	-500.0	500	58818
201	-500.0	500	59318	201	-500.0	500	59318	201	-500.0	500	59318	201	-500.0	500	59318	201	-500.0	500	59318
202	-500.0	500	59818	202	-500.0	500	59818	202	-500.0	500	59818	202	-500.0	500	59818	202	-500.0	500	59818
203	-427.0	427	60245	203	-427.0	427	60245	203	-427.0	427	60245	203	-427.0	427	60245	203	-427.0	427	60245
204	-500.0	500	60745	204	-500.0	500	60745	204	-500.0	500	60745	204	-500.0	500	60745	204	-500.0	500	60745
205	-500.0	500	61245	205	-500.0	500	61245	205	-500.0	500	61245	205	-500.0	500	61245	205	-500.0	500	61245
206	-500.0	500	61745	206	-500.0	500	61745	206	-500.0	500	61745	206	-500.0	500	61745	206	-500.0	500	61745
207	-500.0	500	62245	207	-500.0	500	62245	207	-500.0	500	62245	207	-500.0	500	62245	207	-500.0	500	62245
208	-500.0	500	62745	208	-500.0	500	62745	208	-500.0	500	62745	208	-500.0	500	62745	208	-500.0	500	62745
209	-500.0	500	63245	209	-500.0	500	63245	209	-500.0	500	63245	209	-500.0	500	63245	209	-500.0	500	63245
210	-500.0	500	63745	210	-500.0	500	63745	210	-500.0	500	63745	210	-500.0	500	63745	210	-500.0	500	63745
211	-500.0	500	64245	211	-500.0	500	64245	211	-500.0	500	64245	211	-500.0	500	64245	211	-500.0	500	64245
212	-500.0	500	64745	212	-500.0	500	64745	212	-500.0	500	64745	212	-500.0	500	64745	212	-500.0	500	64745
213	-500.0	500	65245	213	-500.0	500	65245	213	-500.0	500	65245	213	-500.0	500	65245	213	-500.0	500	65245
214	-500.0	500	65745	214	-500.0	500	65745	214	-500.0	500	65745	214	-500.0	500	65745	214	-500.0	500	65745
215	-500.0	500	66245	215	-500.0	500	66245	215	-500.0	500	66245	215	-500.0	500	66245	215	-500.0	500	66245
216	-500.0	500	66745	216	-500.0	500	66745	216	-500.0	500	66745	216	-500.0	500	66745	216	-500.0	500	66745
217	-500.0	500	67245	217	-500.0	500	67245	217	-500.0	500	67245	217	-500.0	500	67245	217	-500.0	500	67245
218	-347.0	347	67592	218	-347.0	347	67592	218	-347.0	347	67592	218	-347.0	347	67592	218	-347.0	347	67592
219	-500.0	500	68092	219	-500.0	500	68092	219	-500.0	500	68092	219	-500.0	500	68092	219	-500.0	500	68092
220	-500.0	500	68592	220	-500.0	500	68592	220	-500.0	500	68592	220	-500.0	500	68592	220	-500.0	500	68592
221	-500.0	500	69092	221	-500.0	500	69092	221	-500.0	500	69092	221	-500.0	500	69092	221	-500.0	500	69092
222	-500.0	500	69592	222	-500.0	500	69592	222	-500.0	500	69592	222	-500.0	500	69592	222	-500.0	500	69592
223	-500.0	500	70092	223	-500.0	500	70092	223	-500.0	500	70092	223	-500.0	500	70092	223	-500.0	500	70092
224	-500.0	500	70592	224	-500.0	500	70592	224	-500.0	500	70592	224	-500.0	500	70592	224	-500.0	500	70592
225	-500.0	500	71092	225	-500.0	500	71092	225	-500.0	500	71092	225	-500.0	500	71092	225	-500.0	500	71092
