Episode	Accumulated Reward	Length	Steps
654	-2	4	3028
655	-2	4	3032
656	-2	4	3036
657	-2	4	3040
658	-2	4	3044
659	-3	5	3049
660	-2	4	3053
661	-4	6	3059
662	-2	4	3063
663	-4	6	3069
664	-2	4	3073
665	-2	4	3077
666	-2	4	3081
667	-2	4	3085
668	-2	4	3089
669	-2	4	3093
670	-2	4	3097
671	-2	4	3101
672	-2	4	3105
673	-2	4	3109
674	-2	4	3113
675	-2	4	3117
676	-2	4	3121
677	-4	6	3127
678	-4	6	3133
679	-2	4	3137
680	-2	4	3141
681	-2	4	3145
682	-2	4	3149
683	-2	4	3153
684	-2	4	3157
685	-2	4	3161
686	-2	4	3165
687	-2	4	3169
688	-2	4	3173
689	-4	6	3179
690	-2	4	3183
691	-2	4	3187
692	-2	4	3191
693	-2	4	3195
694	-2	4	3199
695	-2	4	3203
696	-2	4	3207
697	-4	6	3213
698	-2	4	3217
699	-2	4	3221
700	-2	4	3225
701	-2	4	3229
702	-2	4	3233
703	-2	4	3237
704	-2	4	3241
705	-2	4	3245
706	-2	4	3249
707	-2	4	3253
708	-2	4	3257
709	-2	4	3261
710	-2	4	3265
711	-2	4	3269
712	-2	4	3273
713	-2	4	3277
714	-2	4	3281
715	-2	4	3285
716	-2	4	3289
717	-2	4	3293
718	-2	4	3297
719	-2	4	3301
720	-2	4	3305
721	-3	5	3310
722	-2	4	3314
723	-2	4	3318
724	-2	4	3322
725	-2	4	3326
726	-2	4	3330
727	-2	4	3334
728	-2	4	3338
729	-2	4	3342
730	-2	4	3346
731	-2	4	3350
732	-2	4	3354
733	-2	4	3358
734	-2	4	3362
735	-2	4	3366
736	-2	4	3370
737	-2	4	3374
738	-2	4	3378
739	-2	4	3382
740	-2	4	3386
741	-2	4	3390
742	-2	4	3394
743	-2	4	3398
744	-2	4	3402
745	-2	4	3406
746	-2	4	3410
747	-2	4	3414
748	-2	4	3418
749	-2	4	3422
750	-2	4	3426
751	-2	4	3430
752	-2	4	3434
753	-2	4	3438
754	-2	4	3442
755	-2	4	3446
756	-2	4	3450
757	-2	4	3454
758	-2	4	3458
759	-2	4	3462
760	-2	4	3466
761	-2	4	3470
762	-2	4	3474
763	-2	4	3478
764	-2	4	3482
765	-2	4	3486
766	-2	4	3490
767	-2	4	3494
768	-2	4	3498
769	-2	4	3502
770	-2	4	3506
771	-2	4	3510
772	-2	4	3514
773	-2	4	3518
774	-2	4	3522
775	-2	4	3526
776	-2	4	3530
777	-2	4	3534
778	-2	4	3538
779	-2	4	3542
780	-2	4	3546
781	-2	4	3550
782	-2	4	3554
783	-2	4	3558
784	-2	4	3562
785	-2	4	3566
786	-2	4	3570
787	-2	4	3574
788	-2	4	3578
789	-4	6	3584
790	-2	4	3588
791	-4	6	3594
792	-2	4	3598
793	-2	4	3602
794	-2	4	3606
795	-2	4	3610
796	-2	4	3614
797	-2	4	3618
798	-2	4	3622
799	-2	4	3626
800	-2	4	3630
801	-2	4	3634
802	-2	4	3638
803	-2	4	3642
804	-2	4	3646
805	-2	4	3650
806	-2	4	3654
807	-2	4	3658
808	-2	4	3662
809	-2	4	3666
810	-2	4	3670
811	-2	4	3674
812	-4	6	3680
813	-2	4	3684
814	-3	5	3689
815	-2	4	3693
816	-2	4	3697
817	-2	4	3701
818	-2	4	3705
819	-2	4	3709
820	-2	4	3713
821	-2	4	3717
822	-2	4	3721
823	-2	4	3725
824	-2	4	3729
825	-2	4	3733
826	-2	4	3737
827	-2	4	3741
828	-2	4	3745
829	-2	4	3749
830	-2	4	3753
831	-2	4	3757
832	-2	4	3761
833	-2	4	3765
834	-2	4	3769
835	-2	4	3773
836	-2	4	3777
837	-2	4	3781
838	-2	4	3785
839	-2	4	3789
840	-2	4	3793
841	-2	4	3797
842	-2	4	3801
843	-2	4	3805
844	-2	4	3809
845	-2	4	3813
846	-2	4	3817
847	-4	6	3823
848	-2	4	3827
849	-2	4	3831
850	-2	4	3835
851	-2	4	3839
852	-2	4	3843
853	-2	4	3847
854	-2	4	3851
855	-2	4	3855
856	-2	4	3859
857	-2	4	3863
858	-2	4	3867
859	-2	4	3871
860	-2	4	3875
861	-2	4	3879
862	-2	4	3883
863	-2	4	3887
864	-2	4	3891
865	-2	4	3895
866	-3	5	3900
867	-2	4	3904
868	-2	4	3908
869	-2	4	3912
870	-2	4	3916
871	-2	4	3920
872	-2	4	3924
873	-2	4	3928
874	-2	4	3932
875	-2	4	3936
876	-4	6	3942
877	-2	4	3946
878	-2	4	3950
879	-2	4	3954
880	-2	4	3958
881	-2	4	3962
882	-2	4	3966
883	-2	4	3970
884	-2	4	3974
885	-2	4	3978
886	-2	4	3982
887	-2	4	3986
888	-2	4	3990
889	-2	4	3994
890	-2	4	3998
891	-2	4	4002
892	-2	4	4006
893	-2	4	4010
894	-2	4	4014
895	-2	4	4018
896	-2	4	4022
897	-2	4	4026
898	-2	4	4030
899	-2	4	4034
900	-2	4	4038
901	-2	4	4042
902	-2	4	4046
903	-2	4	4050
904	-2	4	4054
905	-2	4	4058
906	-2	4	4062
907	-2	4	4066
908	-2	4	4070
909	-2	4	4074
910	-2	4	4078
911	-2	4	4082
912	-2	4	4086
913	-2	4	4090
914	-2	4	4094
915	-2	4	4098
916	-2	4	4102
917	-2	4	4106
918	-3	5	4111
919	-2	4	4115
920	-2	4	4119
