Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
165	-117	18	6497	165	-117	18	6497	165	-117	18	6497	165	-117	18	6497	165	-117	18	6497	165	-117	18	6497	165	-117	18	6497
166	-17	17	6514	166	-17	17	6514	166	-17	17	6514	166	-17	17	6514	166	-17	17	6514	166	-17	17	6514	166	-17	17	6514
167	-19	19	6533	167	-19	19	6533	167	-19	19	6533	167	-19	19	6533	167	-19	19	6533	167	-19	19	6533	167	-19	19	6533
168	-18	18	6551	168	-18	18	6551	168	-18	18	6551	168	-18	18	6551	168	-18	18	6551	168	-18	18	6551	168	-18	18	6551
169	-20	20	6571	169	-20	20	6571	169	-20	20	6571	169	-20	20	6571	169	-20	20	6571	169	-20	20	6571	169	-20	20	6571
170	-20	20	6591	170	-20	20	6591	170	-20	20	6591	170	-20	20	6591	170	-20	20	6591	170	-20	20	6591	170	-20	20	6591
171	-22	22	6613	171	-22	22	6613	171	-22	22	6613	171	-22	22	6613	171	-22	22	6613	171	-22	22	6613	171	-22	22	6613
172	-20	20	6633	172	-20	20	6633	172	-20	20	6633	172	-20	20	6633	172	-20	20	6633	172	-20	20	6633	172	-20	20	6633
173	-18	18	6651	173	-18	18	6651	173	-18	18	6651	173	-18	18	6651	173	-18	18	6651	173	-18	18	6651	173	-18	18	6651
174	-17	17	6668	174	-17	17	6668	174	-17	17	6668	174	-17	17	6668	174	-17	17	6668	174	-17	17	6668	174	-17	17	6668
175	-19	19	6687	175	-19	19	6687	175	-19	19	6687	175	-19	19	6687	175	-19	19	6687	175	-19	19	6687	175	-19	19	6687
176	-20	20	6707	176	-20	20	6707	176	-20	20	6707	176	-20	20	6707	176	-20	20	6707	176	-20	20	6707	176	-20	20	6707
177	-19	19	6726	177	-19	19	6726	177	-19	19	6726	177	-19	19	6726	177	-19	19	6726	177	-19	19	6726	177	-19	19	6726
178	-18	18	6744	178	-18	18	6744	178	-18	18	6744	178	-18	18	6744	178	-18	18	6744	178	-18	18	6744	178	-18	18	6744
