Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219	92	-56	56	8219
93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280	93	-160	61	8280
94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336	94	-155	56	8336
95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376	95	-139	40	8376
96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416	96	-40	40	8416
97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464	97	-48	48	8464
98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522	98	-256	58	8522
99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551	99	-29	29	8551
100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580	100	-29	29	8580
101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608	101	-28	28	8608
102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660	102	-52	52	8660
103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712	103	-52	52	8712
104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743	104	-31	31	8743
105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776	105	-33	33	8776
106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815	106	-39	39	8815
107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860	107	-144	45	8860
108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913	108	-53	53	8913
109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955	109	-141	42	8955
110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985	110	-30	30	8985
111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009	111	-24	24	9009
112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046	112	-37	37	9046
113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105	113	-257	59	9105
