Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
106	-17	17	1816	106	-17	17	1816	106	-17	17	1816	106	-17	17	1816	106	-17	17	1816	106	-17	17	1816	106	-17	17	1816
107	-15	15	1831	107	-15	15	1831	107	-15	15	1831	107	-15	15	1831	107	-15	15	1831	107	-15	15	1831	107	-15	15	1831
108	-17	17	1848	108	-17	17	1848	108	-17	17	1848	108	-17	17	1848	108	-17	17	1848	108	-17	17	1848	108	-17	17	1848
109	-17	17	1865	109	-17	17	1865	109	-17	17	1865	109	-17	17	1865	109	-17	17	1865	109	-17	17	1865	109	-17	17	1865
110	-15	15	1880	110	-15	15	1880	110	-15	15	1880	110	-15	15	1880	110	-15	15	1880	110	-15	15	1880	110	-15	15	1880
111	-22	22	1902	111	-22	22	1902	111	-22	22	1902	111	-22	22	1902	111	-22	22	1902	111	-22	22	1902	111	-22	22	1902
112	-15	15	1917	112	-15	15	1917	112	-15	15	1917	112	-15	15	1917	112	-15	15	1917	112	-15	15	1917	112	-15	15	1917
113	-15	15	1932	113	-15	15	1932	113	-15	15	1932	113	-15	15	1932	113	-15	15	1932	113	-15	15	1932	113	-15	15	1932
114	-15	15	1947	114	-15	15	1947	114	-15	15	1947	114	-15	15	1947	114	-15	15	1947	114	-15	15	1947	114	-15	15	1947
115	-19	19	1966	115	-19	19	1966	115	-19	19	1966	115	-19	19	1966	115	-19	19	1966	115	-19	19	1966	115	-19	19	1966
116	-20	20	1986	116	-20	20	1986	116	-20	20	1986	116	-20	20	1986	116	-20	20	1986	116	-20	20	1986	116	-20	20	1986
117	-23	23	2009	117	-23	23	2009	117	-23	23	2009	117	-23	23	2009	117	-23	23	2009	117	-23	23	2009	117	-23	23	2009
118	-19	19	2028	118	-19	19	2028	118	-19	19	2028	118	-19	19	2028	118	-19	19	2028	118	-19	19	2028	118	-19	19	2028
119	-15	15	2043	119	-15	15	2043	119	-15	15	2043	119	-15	15	2043	119	-15	15	2043	119	-15	15	2043	119	-15	15	2043
120	-21	21	2064	120	-21	21	2064	120	-21	21	2064	120	-21	21	2064	120	-21	21	2064	120	-21	21	2064	120	-21	21	2064
121	-19	19	2083	121	-19	19	2083	121	-19	19	2083	121	-19	19	2083	121	-19	19	2083	121	-19	19	2083	121	-19	19	2083
122	-17	17	2100	122	-17	17	2100	122	-17	17	2100	122	-17	17	2100	122	-17	17	2100	122	-17	17	2100	122	-17	17	2100
123	-18	18	2118	123	-18	18	2118	123	-18	18	2118	123	-18	18	2118	123	-18	18	2118	123	-18	18	2118	123	-18	18	2118
124	-17	17	2135	124	-17	17	2135	124	-17	17	2135	124	-17	17	2135	124	-17	17	2135	124	-17	17	2135	124	-17	17	2135
125	-17	17	2152	125	-17	17	2152	125	-17	17	2152	125	-17	17	2152	125	-17	17	2152	125	-17	17	2152	125	-17	17	2152
126	-17	17	2169	126	-17	17	2169	126	-17	17	2169	126	-17	17	2169	126	-17	17	2169	126	-17	17	2169	126	-17	17	2169
127	-15	15	2184	127	-15	15	2184	127	-15	15	2184	127	-15	15	2184	127	-15	15	2184	127	-15	15	2184	127	-15	15	2184
128	-19	19	2203	128	-19	19	2203	128	-19	19	2203	128	-19	19	2203	128	-19	19	2203	128	-19	19	2203	128	-19	19	2203
129	-17	17	2220	129	-17	17	2220	129	-17	17	2220	129	-17	17	2220	129	-17	17	2220	129	-17	17	2220	129	-17	17	2220
130	-15	15	2235	130	-15	15	2235	130	-15	15	2235	130	-15	15	2235	130	-15	15	2235	130	-15	15	2235	130	-15	15	2235
131	-22	22	2257	131	-22	22	2257	131	-22	22	2257	131	-22	22	2257	131	-22	22	2257	131	-22	22	2257	131	-22	22	2257
132	-20	20	2277	132	-20	20	2277	132	-20	20	2277	132	-20	20	2277	132	-20	20	2277	132	-20	20	2277	132	-20	20	2277
133	-17	17	2294	133	-17	17	2294	133	-17	17	2294	133	-17	17	2294	133	-17	17	2294	133	-17	17	2294	133	-17	17	2294
134	-19	19	2313	134	-19	19	2313	134	-19	19	2313	134	-19	19	2313	134	-19	19	2313	134	-19	19	2313	134	-19	19	2313
135	-20	20	2333	135	-20	20	2333	135	-20	20	2333	135	-20	20	2333	135	-20	20	2333	135	-20	20	2333	135	-20	20	2333
136	-15	15	2348	136	-15	15	2348	136	-15	15	2348	136	-15	15	2348	136	-15	15	2348	136	-15	15	2348	136	-15	15	2348
137	-17	17	2365	137	-17	17	2365	137	-17	17	2365	137	-17	17	2365	137	-17	17	2365	137	-17	17	2365	137	-17	17	2365
138	-15	15	2380	138	-15	15	2380	138	-15	15	2380	138	-15	15	2380	138	-15	15	2380	138	-15	15	2380	138	-15	15	2380
139	-17	17	2397	139	-17	17	2397	139	-17	17	2397	139	-17	17	2397	139	-17	17	2397	139	-17	17	2397	139	-17	17	2397
140	-17	17	2414	140	-17	17	2414	140	-17	17	2414	140	-17	17	2414	140	-17	17	2414	140	-17	17	2414	140	-17	17	2414
141	-19	19	2433	141	-19	19	2433	141	-19	19	2433	141	-19	19	2433	141	-19	19	2433	141	-19	19	2433	141	-19	19	2433
142	-15	15	2448	142	-15	15	2448	142	-15	15	2448	142	-15	15	2448	142	-15	15	2448	142	-15	15	2448	142	-15	15	2448
143	-17	17	2465	143	-17	17	2465	143	-17	17	2465	143	-17	17	2465	143	-17	17	2465	143	-17	17	2465	143	-17	17	2465
144	-15	15	2480	144	-15	15	2480	144	-15	15	2480	144	-15	15	2480	144	-15	15	2480	144	-15	15	2480	144	-15	15	2480
145	-15	15	2495	145	-15	15	2495	145	-15	15	2495	145	-15	15	2495	145	-15	15	2495	145	-15	15	2495	145	-15	15	2495
146	-15	15	2510	146	-15	15	2510	146	-15	15	2510	146	-15	15	2510	146	-15	15	2510	146	-15	15	2510	146	-15	15	2510
147	-19	19	2529	147	-19	19	2529	147	-19	19	2529	147	-19	19	2529	147	-19	19	2529	147	-19	19	2529	147	-19	19	2529
148	-15	15	2544	148	-15	15	2544	148	-15	15	2544	148	-15	15	2544	148	-15	15	2544	148	-15	15	2544	148	-15	15	2544
149	-17	17	2561	149	-17	17	2561	149	-17	17	2561	149	-17	17	2561	149	-17	17	2561	149	-17	17	2561	149	-17	17	2561
150	-15	15	2576	150	-15	15	2576	150	-15	15	2576	150	-15	15	2576	150	-15	15	2576	150	-15	15	2576	150	-15	15	2576
