Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275	74	-15	15	1275
75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294	75	-19	19	1294
76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311	76	-17	17	1311
77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328	77	-17	17	1328
78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343	78	-15	15	1343
79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362	79	-19	19	1362
80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377	80	-15	15	1377
81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394	81	-17	17	1394
82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411	82	-17	17	1411
83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428	83	-17	17	1428
84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443	84	-15	15	1443
85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458	85	-15	15	1458
86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476	86	-117	18	1476
87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491	87	-15	15	1491
88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506	88	-15	15	1506
89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521	89	-15	15	1521
90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540	90	-19	19	1540
91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556	91	-16	16	1556
92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572	92	-115	16	1572
93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587	93	-15	15	1587
94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605	94	-18	18	1605
95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622	95	-116	17	1622
96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637	96	-15	15	1637
97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653	97	-16	16	1653
98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672	98	-19	19	1672
99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693	99	-21	21	1693
100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710	100	-17	17	1710
101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727	101	-17	17	1727
102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742	102	-15	15	1742
103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757	103	-15	15	1757
104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774	104	-17	17	1774
105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795	105	-21	21	1795
106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812	106	-17	17	1812
107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829	107	-17	17	1829
108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847	108	-18	18	1847
109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862	109	-15	15	1862
110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879	110	-17	17	1879
111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898	111	-19	19	1898
112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916	112	-18	18	1916
113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931	113	-15	15	1931
114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946	114	-15	15	1946
115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964	115	-18	18	1964
116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982	116	-18	18	1982
117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999	117	-17	17	1999
118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018	118	-19	19	2018
119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035	119	-17	17	2035
120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050	120	-15	15	2050
121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065	121	-15	15	2065
122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081	122	-16	16	2081
123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100	123	-19	19	2100
124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117	124	-17	17	2117
125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132	125	-15	15	2132
126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147	126	-15	15	2147
127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162	127	-15	15	2162
128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178	128	-16	16	2178
129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193	129	-15	15	2193
130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208
131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231	131	-23	23	2231
132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246	132	-15	15	2246
133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261	133	-15	15	2261
134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278	134	-17	17	2278
135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293	135	-15	15	2293
136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308	136	-15	15	2308
