Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
75	-16	16	1345	75	-16	16	1345	75	-16	16	1345	75	-16	16	1345	75	-16	16	1345	75	-16	16	1345	75	-16	16	1345	75	-16	16	1345	75	-16	16	1345
76	-19	19	1364	76	-19	19	1364	76	-19	19	1364	76	-19	19	1364	76	-19	19	1364	76	-19	19	1364	76	-19	19	1364	76	-19	19	1364	76	-19	19	1364
77	-15	15	1379	77	-15	15	1379	77	-15	15	1379	77	-15	15	1379	77	-15	15	1379	77	-15	15	1379	77	-15	15	1379	77	-15	15	1379	77	-15	15	1379
78	-19	19	1398	78	-19	19	1398	78	-19	19	1398	78	-19	19	1398	78	-19	19	1398	78	-19	19	1398	78	-19	19	1398	78	-19	19	1398	78	-19	19	1398
79	-16	16	1414	79	-16	16	1414	79	-16	16	1414	79	-16	16	1414	79	-16	16	1414	79	-16	16	1414	79	-16	16	1414	79	-16	16	1414	79	-16	16	1414
80	-15	15	1429	80	-15	15	1429	80	-15	15	1429	80	-15	15	1429	80	-15	15	1429	80	-15	15	1429	80	-15	15	1429	80	-15	15	1429	80	-15	15	1429
81	-15	15	1444	81	-15	15	1444	81	-15	15	1444	81	-15	15	1444	81	-15	15	1444	81	-15	15	1444	81	-15	15	1444	81	-15	15	1444	81	-15	15	1444
82	-24	24	1468	82	-24	24	1468	82	-24	24	1468	82	-24	24	1468	82	-24	24	1468	82	-24	24	1468	82	-24	24	1468	82	-24	24	1468	82	-24	24	1468
83	-15	15	1483	83	-15	15	1483	83	-15	15	1483	83	-15	15	1483	83	-15	15	1483	83	-15	15	1483	83	-15	15	1483	83	-15	15	1483	83	-15	15	1483
84	-19	19	1502	84	-19	19	1502	84	-19	19	1502	84	-19	19	1502	84	-19	19	1502	84	-19	19	1502	84	-19	19	1502	84	-19	19	1502	84	-19	19	1502
85	-19	19	1521	85	-19	19	1521	85	-19	19	1521	85	-19	19	1521	85	-19	19	1521	85	-19	19	1521	85	-19	19	1521	85	-19	19	1521	85	-19	19	1521
86	-17	17	1538	86	-17	17	1538	86	-17	17	1538	86	-17	17	1538	86	-17	17	1538	86	-17	17	1538	86	-17	17	1538	86	-17	17	1538	86	-17	17	1538
87	-21	21	1559	87	-21	21	1559	87	-21	21	1559	87	-21	21	1559	87	-21	21	1559	87	-21	21	1559	87	-21	21	1559	87	-21	21	1559	87	-21	21	1559
88	-17	17	1576	88	-17	17	1576	88	-17	17	1576	88	-17	17	1576	88	-17	17	1576	88	-17	17	1576	88	-17	17	1576	88	-17	17	1576	88	-17	17	1576
89	-25	25	1601	89	-25	25	1601	89	-25	25	1601	89	-25	25	1601	89	-25	25	1601	89	-25	25	1601	89	-25	25	1601	89	-25	25	1601	89	-25	25	1601
90	-15	15	1616	90	-15	15	1616	90	-15	15	1616	90	-15	15	1616	90	-15	15	1616	90	-15	15	1616	90	-15	15	1616	90	-15	15	1616	90	-15	15	1616
91	-15	15	1631	91	-15	15	1631	91	-15	15	1631	91	-15	15	1631	91	-15	15	1631	91	-15	15	1631	91	-15	15	1631	91	-15	15	1631	91	-15	15	1631
