Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322	102	-15	15	5322
103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349	103	-27	27	5349
104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367	104	-18	18	5367
105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387	105	-20	20	5387
106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406	106	-19	19	5406
107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421	107	-15	15	5421
108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436	108	-15	15	5436
109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453	109	-17	17	5453
110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474	110	-21	21	5474
111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493	111	-19	19	5493
112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513	112	-20	20	5513
113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532	113	-19	19	5532
114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551	114	-19	19	5551
