Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
147	-276	78	10888	147	-276	78	10888	147	-276	78	10888	147	-276	78	10888	147	-276	78	10888	147	-276	78	10888
148	-27	27	10915	148	-27	27	10915	148	-27	27	10915	148	-27	27	10915	148	-27	27	10915	148	-27	27	10915
149	-140	41	10956	149	-140	41	10956	149	-140	41	10956	149	-140	41	10956	149	-140	41	10956	149	-140	41	10956
150	-141	42	10998	150	-141	42	10998	150	-141	42	10998	150	-141	42	10998	150	-141	42	10998	150	-141	42	10998
151	-40	40	11038	151	-40	40	11038	151	-40	40	11038	151	-40	40	11038	151	-40	40	11038	151	-40	40	11038
152	-47	47	11085	152	-47	47	11085	152	-47	47	11085	152	-47	47	11085	152	-47	47	11085	152	-47	47	11085
153	-23	23	11108	153	-23	23	11108	153	-23	23	11108	153	-23	23	11108	153	-23	23	11108	153	-23	23	11108
154	-31	31	11139	154	-31	31	11139	154	-31	31	11139	154	-31	31	11139	154	-31	31	11139	154	-31	31	11139
155	-30	30	11169	155	-30	30	11169	155	-30	30	11169	155	-30	30	11169	155	-30	30	11169	155	-30	30	11169
156	-138	39	11208	156	-138	39	11208	156	-138	39	11208	156	-138	39	11208	156	-138	39	11208	156	-138	39	11208
157	-31	31	11239	157	-31	31	11239	157	-31	31	11239	157	-31	31	11239	157	-31	31	11239	157	-31	31	11239
158	-42	42	11281	158	-42	42	11281	158	-42	42	11281	158	-42	42	11281	158	-42	42	11281	158	-42	42	11281
159	-27	27	11308	159	-27	27	11308	159	-27	27	11308	159	-27	27	11308	159	-27	27	11308	159	-27	27	11308
160	-41	41	11349	160	-41	41	11349	160	-41	41	11349	160	-41	41	11349	160	-41	41	11349	160	-41	41	11349
161	-30	30	11379	161	-30	30	11379	161	-30	30	11379	161	-30	30	11379	161	-30	30	11379	161	-30	30	11379
162	-129	30	11409	162	-129	30	11409	162	-129	30	11409	162	-129	30	11409	162	-129	30	11409	162	-129	30	11409
163	-51	51	11460	163	-51	51	11460	163	-51	51	11460	163	-51	51	11460	163	-51	51	11460	163	-51	51	11460
164	-43	43	11503	164	-43	43	11503	164	-43	43	11503	164	-43	43	11503	164	-43	43	11503	164	-43	43	11503
165	-46	46	11549	165	-46	46	11549	165	-46	46	11549	165	-46	46	11549	165	-46	46	11549	165	-46	46	11549
166	-134	35	11584	166	-134	35	11584	166	-134	35	11584	166	-134	35	11584	166	-134	35	11584	166	-134	35	11584
167	-48	48	11632	167	-48	48	11632	167	-48	48	11632	167	-48	48	11632	167	-48	48	11632	167	-48	48	11632
168	-51	51	11683	168	-51	51	11683	168	-51	51	11683	168	-51	51	11683	168	-51	51	11683	168	-51	51	11683
169	-44	44	11727	169	-44	44	11727	169	-44	44	11727	169	-44	44	11727	169	-44	44	11727	169	-44	44	11727
170	-60	60	11787	170	-60	60	11787	170	-60	60	11787	170	-60	60	11787	170	-60	60	11787	170	-60	60	11787
171	-56	56	11843	171	-56	56	11843	171	-56	56	11843	171	-56	56	11843	171	-56	56	11843	171	-56	56	11843
172	-76	76	11919	172	-76	76	11919	172	-76	76	11919	172	-76	76	11919	172	-76	76	11919	172	-76	76	11919
173	-43	43	11962	173	-43	43	11962	173	-43	43	11962	173	-43	43	11962	173	-43	43	11962	173	-43	43	11962
174	-63	63	12025	174	-63	63	12025	174	-63	63	12025	174	-63	63	12025	174	-63	63	12025	174	-63	63	12025
175	-45	45	12070	175	-45	45	12070	175	-45	45	12070	175	-45	45	12070	175	-45	45	12070	175	-45	45	12070
176	-74	74	12144	176	-74	74	12144	176	-74	74	12144	176	-74	74	12144	176	-74	74	12144	176	-74	74	12144
